,Medicines,Common_Names
48,Bupleurum,"

Bupleurum chinense


Bupleurum exaltatum


Bupleurum falcatum


Bupleurum fruticosum


Bupleurum longifolium


Bupleurum multinerve


Bupleurum octoradiatum


Bupleurum rotundifolium


Bupleurum scorzonerifolium

Bei Chai Hu
Beichaihu
Bupleuri
Bupleuri Radix
Bupleurum Chinese
Bupleurum Root
Chai Hu
Chai-hu
Chaihu
Chi Hu
Chinese Bupleurum
Chinese Thoroughwax
Hare's Ear Root
Radix Bupleuri
Saiko
Shrubby Hare's Ear
Sickleleaf Hare's Ear
Thoroughwax
Thorow Wax
Thorowax"
49,Burdock,"Burdock also is known as bardana, beggar's buttons, clotbur, edible burdock, Fructus arctii,  great bur, great burdocks, lappa, and Niu Bang Zi (Chinese)."
50,Butcher's Broom,"Butcher's broom also is known as box holly, knee holly, pettigree, sweet broom, and Jew's myrtle."
51,Butterbur,"

Petasites frigidus


Petasites hybridus


Petasites japonicas


Tussilago farfara

Arctic Butterbur
Arctic Sweet Coltsfoot
Arctic Sweet Coltsfoot (P. frigidus)
Blatterdock
Bog Rhubarb
Bogshorns
Butter-Dock
Butterfly Dock
Capdockin
Chapeliere
Coltsfoot
Common Butterbur
Contre-Peste
Exwort
Flapperdock
Fuki
Fuki Petasites
Giant Butterbur
Grand Bonnet
Japanese Butterbur
Japanese Sweet Coltsfoot (P. japonicas)
Japonica Petasites
Langwort
Pestilence-Wort (P. hybridus)
Pestwurz
Petadolex
Petasites
Petasites Japonicus
Petasites Vulgaris
Petasitidis Folium
Petasitidis Hybridus
Petasitidis Rhizoma
Plague Root
Purple Butterbur
Umbrella Leaves"
52,Calanolide A,
53,Calendula,"

Calendula officinalis

Calendola
Calendule
English Garden Marigold
Fleur de Calendule
Fleur de Tous les Mois
Garden Marigold
Gold Bloom
Gold-Bloom
Golden Bloom
Goudsbloem
Holligold
Maravilla
Marigold
Marybud
Marygold
Nagotki
Neven
Pot Marigold
Ringelblume
Souci
Souci des Champs
Souci des Jardins
Souci des Vignes
Souci Officinal
Zergul"
54,Caprylic Acid,"
Capric Acid
Caproic Acid
Lauric Acid
MCTs
Medium Chain Triglycerides
Octanoate
Octanoic Acid
Tricaprylin"
55,Caprylidene,"
1,2,3-Propanetriol Trioctanoate
AC-1202
Axona
Capric Acid
Caproic Acid
Caprylic Acid Triglycerides
Caprylic Triglycerides
Glycerin Tricaprylate
Lauric Acid
MCT
MCTs
Medium Chain Triglycerides
TCM
Tricaprylin
Trioctanoin"
56,Capsicum Peppers,"

Capsicum annuum


Capsicum baccatum


Capsicum chinense


Capsicum frutescens


Capsicum minimum


Capsicum pubescens

African Bird Peppers
African Chilies
African Peppers
Aji
Bell Peppers
Bird Peppers
Capsaicin
Capsicum
Capsicum Fruits
Capzasin-HP
Capzasin-P
Cayenne
Cayenne Fruit
Cayenne Pepper
Cayenne Peppers
Chile
Chile Peppers
Chili
Chili Peppers
Chilli
Chilli Pepper
Chilli Peppers
Chillies
Cis-Capsaicin
Garden Peppers
Goat's Pod
Green Chili Peppers
Green Pepper
Green Peppers
Hot Peppers
Hungarian Peppers
Jalapeno
Jalapeño Peppers
Louisiana Long Pepper
Louisiana Long Peppers
Louisiana Sport Peppers
Mexican Chiles
Oleoresin Capsicum
Paprika
Pili-Pili
Pimiento
Red
Red Peppers
Sweet Peppers
Tabasco Pepper
Tabasco Peppers
Thai Peppers
Trans-Capsaicin
Zanzibar Peppers
Zostrix
Zucapsaicin"
57,Carnitine,"
Aminocarnitine
B Factor
Carnitina
Carnitor
D-Carnitine
DL-Carnitine
Karnitin
L-Carnitine
L-Carnitine Fumarate
L-Carnitine L-Tartrate
L-Carnitine Tartrate
Levocarnitine
Levocarnitine Fumurate
ST-198
Vitacarn
Vitamin B
Vitamine B"
58,Cascara,"

Frangula purshiana


Rhamnus purshiana


Rhamnus pushiana

Bitter Bark
Bitterbark
Buckthorn
California Buckthorn
Cascara Sagrada
Cascararinde
Chittem Bark
Cortex Rhamni Purshianae
Dogwood Bark
Pastel Bourd
Purshiana Bark
Rhamnus
Sacred Bark
Sagrada Bark
Yellow Bark"
59,Cat's Claw,"

Uncaria guianensis


Uncaria tomentosa

C-Med 100
Cat's Claw
Cortex Uncariae
Life-Giving Vine of Peru
Reparagen
Samento
Uña de Gato"
60,Catnip,"Catnip also is known as catnep, catmint, catswort, and field balm."
61,Centaury,"Centaury also is known as minor centaury, lesser centaury, centaury herb, centaurri herba, common centaury, feverwort, filwort, bitter herb, red centaury, Christ's ladder, and centaury gentian."
62,Chamomile,"

Anthemis nobilis


Chamaemelum nobile


Chamomilla recutita


Chamomilla


Matricaria chamomilla


Matricaria recutita


Matricaria suavoelens

Blue Chamomile
Camomilla
Camomille
Chamomilla
Common
English
English Chamomile
Garden
Garden Chamomile
Genuine
Genuine Chamomile
German
German Chamomile
Hungarian
Hungarian Chamomile
Lawn
Lawn Chamomile
Petite Chamomile
Pin Heads
Roman
Roman Chamomile
Scotch
Scotch Chamomile
Sweet
Sweet Chamomile
Sweet False Chamomile
True
True Chamomile
Wild
Wild Chamomile"
63,Chaparral,"Chaparral also is known as creosote bush, greasewood, gobernadora, hediondilla, jarilla, and jarilla hembra."
64,Chaste Tree,"

Vitex agnus-castus


Vitex rotundifolia


Vitex trifolia

Agnus Castus
Chaste Berry
Chaste Tree Berry
Chasteberries
Chasteberry
Chinese Vitex
Gattilier
Hemp Tree
Indian Spice
Lilac Chaste Tree
Mang Jing Zi
Monk's Pepper
Sage Tree Hemp
Vitex
Wild Pepper"
65,Chickweed,"Chickweed also is known as mouse-ear, satinflower, starweed, starwort, tongue grass, white bird's-eye, winterweed, and chickenwort."
